account,date,closed_pnl,size_usd,trade_count,classification,loss_flag,next_day_pnl,profit_bucket
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,5089.718248587571,177,Extreme Greed,0,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,7976.664411764705,68,Extreme Greed,0,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,23734.5,40,Extreme Greed,0,-21227.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,28186.666666666668,12,Extreme Greed,1,1603.1,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,17248.14814814815,27,Extreme Greed,0,-132271.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,16058.536341463414,82,Extreme Greed,1,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,48561.68565217392,23,Extreme Greed,0,-175611.00005600002,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,36736.36242424243,33,Greed,1,71393.964098,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,11410.954021505377,465,Extreme Greed,0,40218.599998,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,9400.588039215687,51,Extreme Greed,0,76710.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,185847.0,10,Greed,0,101011.685664,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,23593.019856972587,839,Fear,0,375620.270243,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,10576.687156308852,531,Greed,0,44400.9058,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,26585.06338095238,210,Neutral,0,30897.0887,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,10161.056241134751,141,Neutral,0,55086.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,32032.5,48,Fear,0,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,134600.00166666668,6,Neutral,0,10152.12224,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,27178.041694915253,59,Neutral,0,115445.395538,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,13233.776894977169,219,Fear,0,115287.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,24958.908545454546,55,Extreme Fear,0,9482.221441,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,2985.797555555556,45,Extreme Fear,0,533974.662903,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,8371.136099843994,641,Fear,0,40200.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,79640.0,5,Neutral,0,307855.80341,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,21491.640322580646,31,Fear,0,,0
